id name keystroke10 keystroke20 keystroke30 keystroke40 keystroke50 keystroke60 keystroke70 keystroke80 keystroke90 keystroke100 keystroke110 keystroke120 keystroke130 keystroke140 keystroke150 keystroke160 keystroke170 ouliers essay_sent essay_type
0 GayMerriage 0 6 3 8 14 76 10 77 4 16 15 2 10 3 5 12 1 66 4 True
1 GayMerriage 1 1 2 2 11 68 2 82 0 20 14 1 11 7 1 12 0 44 8 Fake
2 GayMerriage 0 1 5 2 20 104 9 66 3 23 13 1 13 8 0 13 1 90 4 Fake
3 GayMerriage 0 1 1 0 11 73 1 73 0 28 12 2 11 13 0 14 2 60 8 True
4 GayMerriage 30 31 17 21 19 28 23 34 12 7 4 2 1 1 0 0 0 1 7 True
5 GayMerriage 34 17 12 14 25 36 23 25 26 8 4 1 0 0 0 0 0 1 8 Fake
6 GayMerriage 29 16 12 14 12 30 25 40 29 18 4 4 0 0 0 0 0 1 7 Fake
7 GayMerriage 26 16 9 19 17 35 30 28 24 15 6 2 1 1 0 1 0 1 8 True
8 GayMerriage 9 11 4 23 17 43 44 39 16 13 5 7 6 5 2 2 1 15 4 True
9 GayMerriage 10 10 15 13 19 40 39 33 10 6 6 8 1 4 2 1 1 11 2 Fake
10 GayMerriage 7 6 6 16 30 57 59 49 13 15 13 10 6 13 2 5 2 16 4 Fake
11 GayMerriage 7 10 12 13 15 41 49 32 5 6 2 5 7 4 2 5 4 18 2 True
12 GayMerriage 16 28 18 26 18 19 14 27 12 19 13 9 2 1 0 2 1 4 8 True
13 GayMerriage 15 37 22 22 22 28 16 32 14 13 13 15 4 10 3 0 0 1 2 Fake
14 GayMerriage 7 33 15 21 20 25 17 28 21 17 8 12 2 9 1 0 1 3 8 Fake
15 GayMerriage 18 38 20 20 23 24 18 35 16 18 10 16 10 11 4 4 2 9 2 True
16 GayMerriage 0 0 2 7 6 11 10 9 20 20 30 31 27 17 9 6 3 47 2 True
17 GayMerriage 0 4 3 3 4 12 7 9 9 20 18 25 21 19 8 10 5 34 8 Fake
18 GayMerriage 1 0 6 4 12 16 18 14 9 21 29 48 30 22 12 15 6 36 8 Fake
19 GayMerriage 1 2 5 10 12 14 11 11 13 23 25 35 30 28 11 5 8 25 2 True
20 GayMerriage 0 20 11 22 21 58 38 21 18 30 3 8 1 0 0 0 0 2 2 True
21 GayMerriage 0 25 17 17 24 56 14 26 15 35 8 4 2 0 0 0 0 1 7 Fake
22 GayMerriage 2 26 24 29 24 52 23 27 25 32 16 8 3 10 2 1 2 4 7 Fake
23 GayMerriage 1 28 24 25 25 46 27 28 16 40 15 5 6 2 1 0 0 1 2 True
24 GayMerriage 1 37 14 19 20 98 64 53 23 20 9 4 2 5 1 2 1 8 2 True
25 GayMerriage 6 24 15 14 20 59 56 30 19 13 4 3 5 1 0 0 1 5 2 Fake
26 GayMerriage 6 25 5 7 14 51 47 44 40 27 6 3 2 6 2 1 3 12 2 Fake
27 GayMerriage 2 28 12 7 19 71 67 43 42 35 6 7 4 3 2 1 4 22 2 True
28 GayMerriage 0 0 1 0 7 61 0 50 1 12 11 3 21 31 0 9 1 22 8 True
29 GayMerriage 0 0 0 0 6 61 0 50 3 10 11 10 24 31 0 14 1 20 2 Fake
30 GayMerriage 0 0 0 0 8 65 0 45 7 10 14 6 12 30 2 23 4 34 8 Fake
31 GayMerriage 0 0 0 0 10 80 0 58 1 12 28 1 32 42 0 12 1 20 2 True
32 GayMerriage 0 12 18 0 25 66 0 22 0 8 8 0 10 8 0 9 0 12 8 True
33 GayMerriage 0 14 11 0 31 73 0 36 0 10 11 0 9 8 0 6 0 18 4 Fake
34 GayMerriage 0 9 14 2 30 67 0 39 0 9 8 0 11 12 0 9 0 19 8 Fake
35 GayMerriage 0 12 9 0 24 60 0 48 0 10 8 0 14 12 0 7 0 19 4 True
36 GayMerriage 0 3 1 4 2 6 6 5 6 37 32 25 18 30 8 5 6 31 2 True
37 GayMerriage 0 2 2 1 0 5 8 10 14 39 24 27 25 35 10 7 3 35 4 Fake
38 GayMerriage 0 2 1 0 1 8 5 9 11 31 34 22 35 34 11 9 7 48 2 Fake
39 GayMerriage 0 1 0 1 1 4 3 5 7 32 33 26 26 32 8 8 7 53 4 True
40 GayMerriage 17 15 16 8 7 22 37 40 20 6 9 11 6 5 6 0 2 2 8 True
41 GayMerriage 25 22 9 20 16 34 48 58 30 12 7 18 10 18 7 5 1 7 8 Fake
42 GayMerriage 10 14 9 8 8 13 32 36 38 17 4 10 8 12 2 3 3 11 8 Fake
43 GayMerriage 18 18 10 16 10 13 46 77 59 37 8 24 9 11 6 9 3 22 8 True
44 GayMerriage 13 13 8 6 11 27 24 25 36 42 21 14 7 3 0 2 0 4 4 True
45 GayMerriage 6 11 7 11 10 10 24 35 38 29 25 11 5 2 0 0 0 2 2 Fake
46 GayMerriage 9 18 15 15 15 17 15 35 20 33 11 5 4 2 1 0 0 0 2 Fake
47 GayMerriage 14 22 8 29 17 25 26 38 35 26 19 16 5 3 2 0 0 4 4 True
48 GayMerriage 20 35 20 24 16 15 20 12 13 19 12 3 4 2 0 1 0 2 8 True
49 GayMerriage 19 24 14 20 14 16 12 28 22 16 8 7 4 3 1 1 1 2 2 Fake
